central_frequency,tiling,beam_fwhm,beam_name,ra,dec
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_2147-7712,326.842105263158,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_2225-7712,336.3157894736842,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_2303-7712,345.7894736842105,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_2341-7712,355.2631578947369,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0000-7522,0.0,-75.37185675070418
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0032-7522,8.181818181818182,-75.37185675070418
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0105-7522,16.363636363636363,-75.37185675070418
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0138-7522,24.545454545454543,-75.37185675070418
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0210-7522,32.72727272727273,-75.37185675070418
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0243-7522,40.909090909090914,-75.37185675070418
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0316-7522,49.090909090909086,-75.37185675070418
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0349-7522,57.27272727272727,-75.37185675070418
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0421-7522,65.45454545454545,-75.37185675070418
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0454-7522,73.63636363636363,-75.37185675070418
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0527-7522,81.81818181818183,-75.37185675070418
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0600-7522,89.99999999999999,-75.37185675070418
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0632-7522,98.18181818181817,-75.37185675070418
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0705-7522,106.36363636363636,-75.37185675070418
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0738-7522,114.54545454545455,-75.37185675070418
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0810-7522,122.7272727272727,-75.37185675070418
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0843-7522,130.9090909090909,-75.37185675070418
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0916-7522,139.0909090909091,-75.37185675070418
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0949-7522,147.27272727272725,-75.37185675070418
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1021-7522,155.45454545454544,-75.37185675070418
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1054-7522,163.63636363636365,-75.37185675070418
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1127-7522,171.8181818181818,-75.37185675070418
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1200-7522,179.99999999999997,-75.37185675070418
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1232-7522,188.1818181818182,-75.37185675070418
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1305-7522,196.36363636363635,-75.37185675070418
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1338-7522,204.54545454545456,-75.37185675070418
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1410-7522,212.72727272727272,-75.37185675070418
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1443-7522,220.9090909090909,-75.37185675070418
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1516-7522,229.0909090909091,-75.37185675070418
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1549-7522,237.27272727272728,-75.37185675070418
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1621-7522,245.4545454545454,-75.37185675070418
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1654-7522,253.63636363636365,-75.37185675070418
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1727-7522,261.8181818181818,-75.37185675070418
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1800-7522,270.0,-75.37185675070418
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1832-7522,278.1818181818182,-75.37185675070418
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1905-7522,286.3636363636364,-75.37185675070418
